#Blender report,,,,,,,,,,
#Folder = S:\sapling\blender_djm\lifesim\,,,,,,,,,,
#Filename = S:\sapling\blender_djm\lifesim\appliance_amplifier03.blend,,,,,,,,,,
#Date = DATE,,,,,,,,,,
#Columns, Location,,, Dimensions,,, Scale,,,
Name, loc_x, loc_y, loc_z, dim_x, dim_y, dim_z, sc_x,sc_y,sc_z,
Camera,5.372748851776123,-4.545253276824951,3.6751580238342285,0.0,0.0,0.0,1.0,1.0,1.0,
case,0.0,0.0,0.9424878358840942,1.1134454011917114,2.4248757362365723,0.9749630689620972,0.5579351782798767,0.6995156407356262,0.6995156407356262,
Cylinder,0.7265942692756653,0.0,0.0,0.0,0.0,0.0,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob.001,0.6951947808265686,-1.3499504327774048,0.7177742123603821,0.20233236253261566,0.20233236253261566,0.17934143543243408,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob.002,0.6759645938873291,-0.9679869413375854,0.7177742123603821,0.20233236253261566,0.20233236253261566,0.17934143543243408,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob.003,0.6936222314834595,-0.5613729357719421,0.7182246446609497,0.20233236253261566,0.20233236253261566,0.17934143543243408,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob.004,0.6841279864311218,-0.1152397096157074,0.7177742123603821,0.20233236253261566,0.20233236253261566,0.17934143543243408,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_base.001,0.6941736936569214,-1.350683569908142,0.7177742123603821,0.20233236253261566,0.20233236253261566,0.0687178447842598,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_base.002,0.6761087775230408,-0.9672538042068481,0.7177742123603821,0.20233236253261566,0.20233236253261566,0.0687178447842598,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_base.003,0.6959203481674194,-0.5617934465408325,0.7176240682601929,0.20233236253261566,0.20233236253261566,0.0687178447842598,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_base.004,0.6852353811264038,-0.1159728467464447,0.7177742123603821,0.20233236253261566,0.20233236253261566,0.0687178447842598,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_face.001,0.6939179301261902,-1.350683569908142,0.7177742123603821,0.09948122501373291,0.09852547198534012,0.0,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_face.002,0.6747261881828308,-0.9672538042068481,0.7177742123603821,0.09948122501373291,0.09852547198534012,0.0,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_face.003,0.6958152055740356,-0.5617934465408325,0.7176240682601929,0.09948122501373291,0.09852547198534012,0.0,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_face.004,0.6843979954719543,-0.1159728467464447,0.7177742123603821,0.09948122501373291,0.09852547198534012,0.0,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_pointer.001,0.6843979954719543,-1.350683569908142,0.7177742123603821,0.020352698862552643,0.05655399337410927,0.16964197158813477,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_pointer.002,0.6843979954719543,-0.9672538042068481,0.7177742123603821,0.020352698862552643,0.05655399337410927,0.16964197158813477,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_pointer.003,0.6843979954719543,-0.5617934465408325,0.7176240682601929,0.020352698862552643,0.05655399337410927,0.16964197158813477,0.057065606117248535,0.057065606117248535,0.057065606117248535,
knob_pointer.004,0.6843979954719543,-0.1159728467464447,0.7177742123603821,0.020352698862552643,0.05655399337410927,0.16964197158813477,0.057065606117248535,0.057065606117248535,0.057065606117248535,
Light,2.587207078933716,-0.25415706634521484,2.3648855686187744,0.0,0.0,0.0,1.0,1.0,1.0,
Light.001,-9.030207633972168,2.401258945465088,2.7898030281066895,0.0,0.0,0.0,1.0,1.0,1.0,
Light.002,2.378588914871216,4.996699810028076,1.421574354171753,0.0,0.0,0.0,1.0,1.0,1.0,
switch,0.642245352268219,0.3559829294681549,0.7202534675598145,0.12571947276592255,0.1668185293674469,0.17315952479839325,0.04182124137878418,0.06486239284276962,0.06732790172100067,
