#Blender report,,,,,,,,,,
#Folder = S:\sapling\blender_djm\,,,,,,,,,,
#Filename = S:\sapling\blender_djm\car_zombie_crusher01.blend,,,,,,,,,,
#Date = DATE,,,,,,,,,,
#Columns, Location,,, Dimensions,,, Scale,,,
Name, loc_x, loc_y, loc_z, dim_x, dim_y, dim_z, sc_x,sc_y,sc_z,
axle_front,0.05912548303604126,-17.38039779663086,-2.5242650508880615,0.574242115020752,0.574242115020752,4.372761249542236,0.287121057510376,0.287121057510376,2.186380624771118,
body_floor,0.0,-0.2278575897216797,0.0,14.210444450378418,18.186777114868164,9.65709114074707,0.9435915350914001,0.9435915350914001,0.9435915350914001,
cage_bar_back,6.529648303985596,1.2244901657104492,9.730239868164062,12.120085716247559,0.19868992269039154,12.664541244506836,0.09563940018415451,0.09563940018415451,5.749029159545898,
cage_bar_left,-4.516859531402588,-9.134697914123535,9.68559741973877,9.73580551147461,0.19868992269039154,12.664541244506836,0.09563940018415451,0.09563940018415451,5.749029159545898,
cage_bar_left.001,4.10755729675293,-14.532500267028809,9.718343734741211,15.696502685546875,0.19868992269039154,12.664541244506836,0.09563940018415451,0.09563940018415451,5.749029159545898,
Camera,-27.142200469970703,10.605606079101562,15.088231086730957,0.0,0.0,0.0,1.0,1.0,1.0,
chair_front_left,1.807450771331787,-11.022884368896484,5.696625709533691,2.000000238418579,2.672801971435547,3.2373833656311035,1.0,1.0,1.0,
chair_front_right,-1.8060977458953857,-11.022884368896484,5.696625709533691,2.000000238418579,2.672801971435547,3.2373833656311035,1.0,1.0,1.0,
chair_mid_left,3.42891788482666,-7.082241535186768,5.696625709533691,2.000000238418579,2.672801971435547,3.2373833656311035,1.0,1.0,1.0,
chair_mid_mid,0.0699920654296875,-7.082241535186768,5.696625709533691,2.000000238418579,2.672801971435547,3.2373833656311035,1.0,1.0,1.0,
chair_mid_right,-3.586902379989624,-7.082241535186768,5.696625709533691,2.000000238418579,2.672801971435547,3.2373833656311035,1.0,1.0,1.0,
chair_rear_left,3.379925489425659,-2.1677005290985107,5.52757453918457,3.4573378562927246,2.672801971435547,3.2373833656311035,1.7286686897277832,1.0,1.0,
chair_rear_mid,0.029091209173202515,-2.185288667678833,5.549050807952881,3.2598466873168945,2.672801971435547,3.2373833656311035,1.6299231052398682,1.0,1.0,
chair_rear_right,-3.4101171493530273,-2.2316226959228516,5.506447792053223,3.550699234008789,2.672801971435547,3.2373833656311035,1.7753493785858154,1.0,1.0,
dash,0.04922199249267578,-15.385161399841309,4.541542053222656,9.093488693237305,2.2872986793518066,4.279309272766113,4.546744346618652,0.38867661356925964,1.0,
dash_gauge1,-2.3224847316741943,-13.727103233337402,7.186800003051758,0.3826460838317871,0.3826460540294647,0.1198251023888588,0.19132304191589355,0.19132304191589355,0.0599125474691391,
dash_gauge2,-1.3781827688217163,-13.727103233337402,7.186800003051758,0.3826460838317871,0.3826460540294647,0.1198251023888588,0.19132304191589355,0.19132304191589355,0.0599125474691391,
dash_gauge3,-1.8012553453445435,-13.727103233337402,7.186800003051758,0.269371896982193,0.2693718671798706,0.08435343950986862,0.1346859484910965,0.1346859484910965,0.04217671975493431,
diff,0.0,-0.2278575897216797,0.0,2.8239803314208984,3.140867233276367,3.0338101387023926,0.9435915350914001,0.9435915350914001,0.9435915350914001,
Light,4.122799873352051,-29.003116607666016,4.113493919372559,0.0,0.0,0.0,1.4970276355743408,1.4970277547836304,1.4970275163650513,
Light.001,0.7408075928688049,-22.81925392150879,14.857000350952148,0.0,0.0,0.0,1.0,1.0,1.0,
Light.002,-2.7779173851013184,-10.836248397827148,-6.576132297515869,0.0,0.0,0.0,1.0,1.0,1.0,
Light.003,1.9392075538635254,6.738063812255859,15.738997459411621,0.0,0.0,0.0,1.0,1.0,1.0,
